 Area , Condition , Age Group , Sex , Year , Rate , Rate CV , Rate_95%_CI_Lower , Rate_95%_CI_Upper , Number , Population 
Newfoundland and Labrador,Diabetes,'80+',Males,2014,34.81,1.81,33.59,36.07,"3,060","8,790"
Newfoundland and Labrador,Diabetes,'1+',Both sexes,2015,10.65,0.42,10.57,10.74,"57,630","540,990"
Newfoundland and Labrador,Diabetes,'1-19',Both sexes,2015,0.57,4.19,0.53,0.62,570,"99,490"
Newfoundland and Labrador,Diabetes,'20-34',Both sexes,2015,1.66,2.52,1.58,1.74,"1,580","95,210"
Newfoundland and Labrador,Diabetes,'35-49',Both sexes,2015,5.64,1.27,5.5,5.78,"6,240","110,660"
Newfoundland and Labrador,Diabetes,'50-64',Both sexes,2015,14.3,0.73,14.09,14.5,"18,750","131,140"
Newfoundland and Labrador,Diabetes,'65-79',Both sexes,2015,27.79,0.66,27.43,28.15,"22,760","81,910"
Newfoundland and Labrador,Diabetes,'80+',Both sexes,2015,34.22,1.14,33.46,34.99,"7,730","22,590"
Newfoundland and Labrador,Diabetes,'1+',Females,2015,10.4,0.59,10.28,10.52,"28,420","273,240"
Newfoundland and Labrador,Diabetes,'1-19',Females,2015,0.54,6.2,0.47,0.61,260,"48,390"
Newfoundland and Labrador,Diabetes,'20-34',Females,2015,1.73,3.49,1.61,1.85,820,"47,410"
Newfoundland and Labrador,Diabetes,'35-49',Females,2015,5.61,1.79,5.41,5.81,"3,130","55,830"
Newfoundland and Labrador,Diabetes,'50-64',Females,2015,13.2,1.07,12.93,13.48,"8,730","66,130"
Newfoundland and Labrador,Diabetes,'65-79',Females,2015,26.04,0.96,25.56,26.54,"10,910","41,890"
Newfoundland and Labrador,Diabetes,'80+',Females,2015,33.53,1.48,32.56,34.52,"4,550","13,570"
Newfoundland and Labrador,Diabetes,'1+',Males,2015,10.91,0.59,10.78,11.03,"29,210","267,760"
Newfoundland and Labrador,Diabetes,'1-19',Males,2015,0.59,5.77,0.52,0.66,300,"51,090"
Newfoundland and Labrador,Diabetes,'20-34',Males,2015,1.59,3.63,1.48,1.71,760,"47,790"
Newfoundland and Labrador,Diabetes,'35-49',Males,2015,5.66,1.8,5.46,5.86,"3,100","54,810"
Newfoundland and Labrador,Diabetes,'50-64',Males,2015,15.41,1,15.11,15.72,"10,020","65,010"
Newfoundland and Labrador,Diabetes,'65-79',Males,2015,29.61,0.92,29.08,30.15,"11,850","40,020"
Newfoundland and Labrador,Diabetes,'80+',Males,2015,35.25,1.77,34.04,36.5,"3,180","9,020"
Prince Edward Island,Diabetes,'1+',Both sexes,2000,4.37,1.27,4.26,4.48,"6,190","141,790"
Prince Edward Island,Diabetes,'1-19',Both sexes,2000,0.41,8.16,0.35,0.48,150,"36,660"
Prince Edward Island,Diabetes,'20-34',Both sexes,2000,0.9,6.2,0.79,1.01,260,"28,970"
Prince Edward Island,Diabetes,'35-49',Both sexes,2000,2.54,3.45,2.37,2.71,840,"33,130"
Prince Edward Island,Diabetes,'50-64',Both sexes,2000,8.12,2.29,7.76,8.49,"1,910","23,520"
Prince Edward Island,Diabetes,'65-79',Both sexes,2000,15.59,2.16,14.94,16.26,"2,150","13,790"
Prince Edward Island,Diabetes,'80+',Both sexes,2000,15.41,3.37,14.41,16.46,880,"5,710"
Prince Edward Island,Diabetes,'1+',Females,2000,4.03,1.86,3.88,4.18,"2,900","72,000"
Prince Edward Island,Diabetes,'1-19',Females,2000,0.33,12.91,0.25,0.43,60,"18,000"
Prince Edward Island,Diabetes,'20-34',Females,2000,0.7,10,0.57,0.85,100,"14,290"
Prince Edward Island,Diabetes,'35-49',Females,2000,2.21,5.2,1.99,2.45,370,"16,730"
Prince Edward Island,Diabetes,'50-64',Females,2000,6.71,3.56,6.25,7.2,790,"11,770"
Prince Edward Island,Diabetes,'65-79',Females,2000,13.55,3.16,12.72,14.42,"1,000","7,380"
Prince Edward Island,Diabetes,'80+',Females,2000,14.88,4.19,13.69,16.16,570,"3,830"
Prince Edward Island,Diabetes,'1+',Males,2000,4.73,1.74,4.57,4.89,"3,300","69,790"
Prince Edward Island,Diabetes,'1-19',Males,2000,0.48,10.54,0.39,0.59,90,"18,660"
Prince Edward Island,Diabetes,'20-34',Males,2000,1.02,8.16,0.86,1.2,150,"14,680"
Prince Edward Island,Diabetes,'35-49',Males,2000,2.86,4.61,2.61,3.14,470,"16,410"
Prince Edward Island,Diabetes,'50-64',Males,2000,9.45,3,8.9,10.02,"1,110","11,750"
Prince Edward Island,Diabetes,'65-79',Males,2000,17.94,2.95,16.92,19.01,"1,150","6,410"
Prince Edward Island,Diabetes,'80+',Males,2000,16.84,5.59,15.05,18.79,320,"1,900"
Prince Edward Island,Diabetes,'1+',Both sexes,2001,4.76,1.22,4.65,4.88,"6,740","141,500"
Prince Edward Island,Diabetes,'1-19',Both sexes,2001,0.42,8.16,0.35,0.49,150,"35,970"
Prince Edward Island,Diabetes,'20-34',Both sexes,2001,0.95,6.09,0.84,1.06,270,"28,570"
Prince Edward Island,Diabetes,'35-49',Both sexes,2001,2.85,3.26,2.67,3.04,940,"32,940"
Prince Edward Island,Diabetes,'50-64',Both sexes,2001,8.69,2.18,8.32,9.07,"2,110","24,290"
Prince Edward Island,Diabetes,'65-79',Both sexes,2001,16.45,2.09,15.78,17.14,"2,290","13,920"
Prince Edward Island,Diabetes,'80+',Both sexes,2001,16.87,3.19,15.83,17.96,980,"5,810"
Prince Edward Island,Diabetes,'1+',Females,2001,4.39,1.78,4.24,4.55,"3,160","71,950"
Prince Edward Island,Diabetes,'1-19',Females,2001,0.34,12.91,0.26,0.44,60,"17,600"
Prince Edward Island,Diabetes,'20-34',Females,2001,0.78,9.53,0.64,0.93,110,"14,190"
Prince Edward Island,Diabetes,'35-49',Females,2001,2.52,4.88,2.28,2.77,420,"16,680"
Prince Edward Island,Diabetes,'50-64',Females,2001,7.18,3.39,6.71,7.67,870,"12,120"
Prince Edward Island,Diabetes,'65-79',Females,2001,14.52,3.04,13.66,15.41,"1,080","7,440"
Prince Edward Island,Diabetes,'80+',Females,2001,15.72,4.05,14.5,17.02,610,"3,880"
Prince Edward Island,Diabetes,'1+',Males,2001,5.15,1.67,4.98,5.32,"3,580","69,550"
Prince Edward Island,Diabetes,'1-19',Males,2001,0.54,10,0.44,0.66,100,"18,380"
Prince Edward Island,Diabetes,'20-34',Males,2001,1.04,8.16,0.88,1.22,150,"14,370"
Prince Edward Island,Diabetes,'35-49',Males,2001,3.2,4.39,2.93,3.49,520,"16,250"
Prince Edward Island,Diabetes,'50-64',Males,2001,10.19,2.84,9.63,10.77,"1,240","12,170"
Prince Edward Island,Diabetes,'65-79',Males,2001,18.7,2.87,17.66,19.79,"1,210","6,470"
Prince Edward Island,Diabetes,'80+',Males,2001,18.85,5.27,16.95,20.9,360,"1,910"
Prince Edward Island,Diabetes,'1+',Both sexes,2002,5.15,1.17,5.03,5.27,"7,280","141,340"
Prince Edward Island,Diabetes,'1-19',Both sexes,2002,0.45,7.91,0.39,0.53,160,"35,330"
Prince Edward Island,Diabetes,'20-34',Both sexes,2002,0.99,5.98,0.88,1.11,280,"28,260"
Prince Edward Island,Diabetes,'35-49',Both sexes,2002,3.18,3.1,2.99,3.38,"1,040","32,700"
Prince Edward Island,Diabetes,'50-64',Both sexes,2002,9.4,2.06,9.02,9.79,"2,360","25,110"
Prince Edward Island,Diabetes,'65-79',Both sexes,2002,17.07,2.05,16.39,17.77,"2,390","14,000"
Prince Edward Island,Diabetes,'80+',Both sexes,2002,17.85,3.07,16.79,18.95,"1,060","5,940"
Prince Edward Island,Diabetes,'1+',Females,2002,4.75,1.71,4.6,4.92,"3,420","71,950"
Prince Edward Island,Diabetes,'1-19',Females,2002,0.29,14.14,0.21,0.38,50,"17,280"
Prince Edward Island,Diabetes,'20-34',Females,2002,0.86,9.13,0.71,1.02,120,"14,010"
Prince Edward Island,Diabetes,'35-49',Females,2002,2.89,4.56,2.64,3.16,480,"16,620"
Prince Edward Island,Diabetes,'50-64',Females,2002,7.61,3.23,7.14,8.11,960,"12,610"
Prince Edward Island,Diabetes,'65-79',Females,2002,15.32,2.96,14.45,16.24,"1,140","7,440"
Prince Edward Island,Diabetes,'80+',Females,2002,16.58,3.89,15.34,17.9,660,"3,980"
Prince Edward Island,Diabetes,'1+',Males,2002,5.58,1.61,5.4,5.75,"3,870","69,410"
Prince Edward Island,Diabetes,'1-19',Males,2002,0.55,10,0.45,0.67,100,"18,040"
Prince Edward Island,Diabetes,'20-34',Males,2002,1.12,7.91,0.96,1.31,160,"14,250"
Prince Edward Island,Diabetes,'35-49',Males,2002,3.48,4.23,3.2,3.78,560,"16,080"
Prince Edward Island,Diabetes,'50-64',Males,2002,11.21,2.67,10.63,11.81,"1,400","12,490"
Prince Edward Island,Diabetes,'65-79',Males,2002,19.03,2.83,17.99,20.11,"1,250","6,570"
Prince Edward Island,Diabetes,'80+',Males,2002,20.71,4.94,18.75,22.81,410,"1,980"
Prince Edward Island,Diabetes,'1+',Both sexes,2003,5.5,1.13,5.38,5.62,"7,850","142,750"
Prince Edward Island,Diabetes,'1-19',Both sexes,2003,0.48,7.67,0.41,0.56,170,"35,120"
Prince Edward Island,Diabetes,'20-34',Both sexes,2003,1.05,5.77,0.94,1.18,300,"28,520"
Prince Edward Island,Diabetes,'35-49',Both sexes,2003,3.39,3,3.19,3.59,"1,110","32,790"
Prince Edward Island,Diabetes,'50-64',Both sexes,2003,9.8,1.98,9.42,10.19,"2,560","26,120"
Prince Edward Island,Diabetes,'65-79',Both sexes,2003,18.25,1.96,17.55,18.96,"2,600","14,250"
Prince Edward Island,Diabetes,'80+',Both sexes,2003,18.79,2.99,17.71,19.93,"1,120","5,960"
Prince Edward Island,Diabetes,'1+',Females,2003,5.04,1.65,4.87,5.2,"3,660","72,690"
Prince Edward Island,Diabetes,'1-19',Females,2003,0.35,12.91,0.27,0.45,60,"17,190"
Prince Edward Island,Diabetes,'20-34',Females,2003,0.92,8.77,0.77,1.09,130,"14,160"
Prince Edward Island,Diabetes,'35-49',Females,2003,3.06,4.43,2.8,3.34,510,"16,660"
Prince Edward Island,Diabetes,'50-64',Females,2003,8.05,3.07,7.57,8.55,"1,060","13,170"
Prince Edward Island,Diabetes,'65-79',Females,2003,16.22,2.86,15.33,17.16,"1,220","7,520"
Prince Edward Island,Diabetes,'80+',Females,2003,16.92,3.86,15.66,18.25,670,"3,960"
Prince Edward Island,Diabetes,'1+',Males,2003,5.98,1.54,5.8,6.16,"4,190","70,060"
Prince Edward Island,Diabetes,'1-19',Males,2003,0.56,10,0.45,0.68,100,"17,910"
Prince Edward Island,Diabetes,'20-34',Males,2003,1.18,7.67,1.01,1.38,170,"14,350"
Prince Edward Island,Diabetes,'35-49',Males,2003,3.72,4.08,3.43,4.03,600,"16,130"
Prince Edward Island,Diabetes,'50-64',Males,2003,11.51,2.59,10.94,12.11,"1,490","12,940"
Prince Edward Island,Diabetes,'65-79',Males,2003,20.51,2.69,19.44,21.62,"1,380","6,730"
Prince Edward Island,Diabetes,'80+',Males,2003,22.11,4.77,20.09,24.28,440,"1,990"
Prince Edward Island,Diabetes,'1+',Both sexes,2004,5.8,1.1,5.67,5.92,"8,310","143,330"
Prince Edward Island,Diabetes,'1-19',Both sexes,2004,0.52,7.45,0.45,0.6,180,"34,680"
Prince Edward Island,Diabetes,'20-34',Both sexes,2004,1.12,5.59,1,1.25,320,"28,590"
Prince Edward Island,Diabetes,'35-49',Both sexes,2004,3.53,2.95,3.33,3.74,"1,150","32,580"
Prince Edward Island,Diabetes,'50-64',Both sexes,2004,10.16,1.91,9.79,10.55,"2,750","27,060"
Prince Edward Island,Diabetes,'65-79',Both sexes,2004,19.18,1.9,18.48,19.91,"2,770","14,440"
Prince Edward Island,Diabetes,'80+',Both sexes,2004,19.33,2.94,18.24,20.48,"1,160","6,000"
Prince Edward Island,Diabetes,'1+',Females,2004,5.28,1.61,5.12,5.45,"3,860","73,040"
Prince Edward Island,Diabetes,'1-19',Females,2004,0.41,11.95,0.32,0.52,70,"16,990"
Prince Edward Island,Diabetes,'20-34',Females,2004,0.98,8.45,0.83,1.16,140,"14,240"
Prince Edward Island,Diabetes,'35-49',Females,2004,3.14,4.39,2.88,3.42,520,"16,560"
Prince Edward Island,Diabetes,'50-64',Females,2004,8.27,2.97,7.8,8.77,"1,130","13,660"
Prince Edward Island,Diabetes,'65-79',Females,2004,17.02,2.78,16.1,17.97,"1,290","7,580"
Prince Edward Island,Diabetes,'80+',Females,2004,17.75,3.75,16.47,19.11,710,"4,000"
Prince Edward Island,Diabetes,'1+',Males,2004,6.33,1.5,6.15,6.52,"4,450","70,290"
Prince Edward Island,Diabetes,'1-19',Males,2004,0.62,9.53,0.51,0.75,110,"17,680"
Prince Edward Island,Diabetes,'20-34',Males,2004,1.19,7.67,1.01,1.38,170,"14,340"
Prince Edward Island,Diabetes,'35-49',Males,2004,3.87,4.02,3.57,4.19,620,"16,020"
Prince Edward Island,Diabetes,'50-64',Males,2004,12.09,2.48,11.51,12.69,"1,620","13,400"
Prince Edward Island,Diabetes,'65-79',Males,2004,21.61,2.6,20.52,22.74,"1,480","6,850"
Prince Edward Island,Diabetes,'80+',Males,2004,22.5,4.71,20.47,24.68,450,"2,000"
Prince Edward Island,Diabetes,'1+',Both sexes,2005,6.11,1.07,5.98,6.24,"8,760","143,330"
Prince Edward Island,Diabetes,'1-19',Both sexes,2005,0.56,7.25,0.48,0.65,190,"33,920"
Prince Edward Island,Diabetes,'20-34',Both sexes,2005,1.13,5.59,1.01,1.26,320,"28,380"
Prince Edward Island,Diabetes,'35-49',Both sexes,2005,3.62,2.92,3.42,3.84,"1,170","32,280"
Prince Edward Island,Diabetes,'50-64',Both sexes,2005,10.53,1.84,10.16,10.92,"2,950","28,010"
Prince Edward Island,Diabetes,'65-79',Both sexes,2005,19.75,1.86,19.04,20.49,"2,900","14,680"
Prince Edward Island,Diabetes,'80+',Both sexes,2005,20.17,2.86,19.05,21.33,"1,220","6,050"
Prince Edward Island,Diabetes,'1+',Females,2005,5.61,1.56,5.44,5.79,"4,100","73,070"
Prince Edward Island,Diabetes,'1-19',Females,2005,0.48,11.18,0.38,0.6,80,"16,690"
Prince Edward Island,Diabetes,'20-34',Females,2005,1.06,8.16,0.9,1.25,150,"14,130"
Prince Edward Island,Diabetes,'35-49',Females,2005,3.17,4.39,2.9,3.45,520,"16,410"
Prince Edward Island,Diabetes,'50-64',Females,2005,8.65,2.86,8.17,9.15,"1,220","14,110"
Prince Edward Island,Diabetes,'65-79',Females,2005,17.77,2.7,16.84,18.74,"1,370","7,710"
Prince Edward Island,Diabetes,'80+',Females,2005,18.7,3.65,17.39,20.09,750,"4,010"
Prince Edward Island,Diabetes,'1+',Males,2005,6.64,1.46,6.46,6.84,"4,670","70,280"
Prince Edward Island,Diabetes,'1-19',Males,2005,0.64,9.53,0.52,0.77,110,"17,230"
Prince Edward Island,Diabetes,'20-34',Males,2005,1.19,7.67,1.02,1.39,170,"14,260"
Prince Edward Island,Diabetes,'35-49',Males,2005,4.04,3.95,3.73,4.36,640,"15,860"
Prince Edward Island,Diabetes,'50-64',Males,2005,12.45,2.4,11.87,13.05,"1,730","13,900"
Prince Edward Island,Diabetes,'65-79',Males,2005,21.92,2.56,20.84,23.05,"1,530","6,980"
Prince Edward Island,Diabetes,'80+',Males,2005,23.04,4.61,21,25.22,470,"2,040"
Prince Edward Island,Diabetes,'1+',Both sexes,2006,6.52,1.03,6.39,6.65,"9,370","143,770"
Prince Edward Island,Diabetes,'1-19',Both sexes,2006,0.6,7.07,0.52,0.69,200,"33,330"
Prince Edward Island,Diabetes,'20-34',Both sexes,2006,1.17,5.5,1.05,1.3,330,"28,170"
Prince Edward Island,Diabetes,'35-49',Both sexes,2006,3.7,2.9,3.49,3.92,"1,190","32,150"
Prince Edward Island,Diabetes,'50-64',Both sexes,2006,11.13,1.76,10.75,11.53,"3,220","28,920"
Prince Edward Island,Diabetes,'65-79',Both sexes,2006,20.67,1.8,19.95,21.41,"3,100","15,000"
Prince Edward Island,Diabetes,'80+',Both sexes,2006,21.49,2.74,20.35,22.67,"1,330","6,190"
Prince Edward Island,Diabetes,'1+',Females,2006,5.95,1.51,5.78,6.13,"4,360","73,230"
Prince Edward Island,Diabetes,'1-19',Females,2006,0.49,11.18,0.39,0.61,80,"16,360"
Prince Edward Island,Diabetes,'20-34',Females,2006,1.07,8.16,0.9,1.25,150,"14,050"
Prince Edward Island,Diabetes,'35-49',Females,2006,3.32,4.3,3.04,3.61,540,"16,280"
Prince Edward Island,Diabetes,'50-64',Females,2006,9.24,2.72,8.75,9.75,"1,350","14,610"
Prince Edward Island,Diabetes,'65-79',Females,2006,18.26,2.64,17.33,19.23,"1,430","7,830"
Prince Edward Island,Diabetes,'80+',Females,2006,19.95,3.49,18.61,21.36,820,"4,110"
Prince Edward Island,Diabetes,'1+',Males,2006,7.12,1.41,6.92,7.32,"5,020","70,550"
Prince Edward Island,Diabetes,'1-19',Males,2006,0.71,9.13,0.59,0.85,120,"16,980"
Prince Edward Island,Diabetes,'20-34',Males,2006,1.35,7.25,1.16,1.55,190,"14,120"
Prince Edward Island,Diabetes,'35-49',Males,2006,4.1,3.92,3.79,4.43,650,"15,860"
Prince Edward Island,Diabetes,'50-64',Males,2006,13.06,2.31,12.47,13.66,"1,870","14,320"
Prince Edward Island,Diabetes,'65-79',Males,2006,23.37,2.44,22.26,24.51,"1,680","7,190"
Prince Edward Island,Diabetes,'80+',Males,2006,24.88,4.39,22.79,27.11,520,"2,090"
Prince Edward Island,Diabetes,'1+',Both sexes,2007,6.81,1.01,6.67,6.94,"9,880","145,140"
Prince Edward Island,Diabetes,'1-19',Both sexes,2007,0.6,7.07,0.52,0.69,200,"33,290"
Prince Edward Island,Diabetes,'20-34',Both sexes,2007,1.28,5.27,1.15,1.42,360,"28,060"
Prince Edward Island,Diabetes,'35-49',Both sexes,2007,3.68,2.91,3.47,3.9,"1,180","32,070"
Prince Edward Island,Diabetes,'50-64',Both sexes,2007,11.61,1.69,11.23,12.01,"3,490","30,050"
Prince Edward Island,Diabetes,'65-79',Both sexes,2007,21.4,1.74,20.68,22.14,"3,300","15,420"
Prince Edward Island,Diabetes,'80+',Both sexes,2007,21.73,2.71,20.59,22.91,"1,360","6,260"
Prince Edward Island,Diabetes,'1+',Females,2007,6.22,1.47,6.05,6.41,"4,600","73,910"
Prince Edward Island,Diabetes,'1-19',Females,2007,0.49,11.18,0.39,0.61,80,"16,300"
Prince Edward Island,Diabetes,'20-34',Females,2007,1.14,7.91,0.97,1.33,160,"14,020"
Prince Edward Island,Diabetes,'35-49',Females,2007,3.32,4.3,3.04,3.61,540,"16,270"
Prince Edward Island,Diabetes,'50-64',Females,2007,9.82,2.59,9.32,10.33,"1,490","15,180"
Prince Edward Island,Diabetes,'65-79',Females,2007,18.6,2.59,17.67,19.57,"1,490","8,010"
Prince Edward Island,Diabetes,'80+',Females,2007,20.58,3.43,19.22,22.01,850,"4,130"
Prince Edward Island,Diabetes,'1+',Males,2007,7.4,1.38,7.2,7.6,"5,270","71,210"
Prince Edward Island,Diabetes,'1-19',Males,2007,0.65,9.53,0.53,0.78,110,"16,990"
Prince Edward Island,Diabetes,'20-34',Males,2007,1.42,7.07,1.23,1.64,200,"14,040"
Prince Edward Island,Diabetes,'35-49',Males,2007,4.05,3.95,3.75,4.38,640,"15,790"
Prince Edward Island,Diabetes,'50-64',Males,2007,13.4,2.24,12.82,14,"1,990","14,850"
Prince Edward Island,Diabetes,'65-79',Males,2007,24.43,2.35,23.31,25.58,"1,810","7,410"
Prince Edward Island,Diabetes,'80+',Males,2007,23.94,4.43,21.91,26.11,510,"2,130"
Prince Edward Island,Diabetes,'1+',Both sexes,2008,7.07,0.98,6.93,7.21,"10,430","147,530"
Prince Edward Island,Diabetes,'1-19',Both sexes,2008,0.57,7.25,0.49,0.66,190,"33,320"
Prince Edward Island,Diabetes,'20-34',Both sexes,2008,1.23,5.35,1.11,1.37,350,"28,440"
Prince Edward Island,Diabetes,'35-49',Both sexes,2008,3.8,2.85,3.59,4.02,"1,230","32,350"
Prince Edward Island,Diabetes,'50-64',Both sexes,2008,11.89,1.65,11.51,12.28,"3,680","30,940"
Prince Edward Island,Diabetes,'65-79',Both sexes,2008,21.92,1.69,21.2,22.66,"3,510","16,010"
Prince Edward Island,Diabetes,'80+',Both sexes,2008,22.76,2.61,21.61,23.95,"1,470","6,460"
Prince Edward Island,Diabetes,'1+',Females,2008,6.45,1.44,6.27,6.64,"4,850","75,150"
Prince Edward Island,Diabetes,'1-19',Females,2008,0.43,11.95,0.33,0.54,70,"16,320"
Prince Edward Island,Diabetes,'20-34',Females,2008,1.12,7.91,0.96,1.31,160,"14,230"
Prince Edward Island,Diabetes,'35-49',Females,2008,3.41,4.23,3.14,3.71,560,"16,410"
Prince Edward Island,Diabetes,'50-64',Females,2008,10.1,2.52,9.6,10.61,"1,580","15,650"
Prince Edward Island,Diabetes,'65-79',Females,2008,18.87,2.52,17.95,19.83,"1,570","8,320"
Prince Edward Island,Diabetes,'80+',Females,2008,21.62,3.31,20.23,23.07,910,"4,210"
Prince Edward Island,Diabetes,'1+',Males,2008,7.71,1.34,7.51,7.91,"5,580","72,380"
Prince Edward Island,Diabetes,'1-19',Males,2008,0.65,9.53,0.53,0.78,110,"16,990"
Prince Edward Island,Diabetes,'20-34',Males,2008,1.34,7.25,1.15,1.54,190,"14,220"
Prince Edward Island,Diabetes,'35-49',Males,2008,4.21,3.86,3.89,4.54,670,"15,930"
Prince Edward Island,Diabetes,'50-64',Males,2008,13.68,2.19,13.1,14.28,"2,090","15,280"
Prince Edward Island,Diabetes,'65-79',Males,2008,25.23,2.27,24.12,26.38,"1,940","7,690"
Prince Edward Island,Diabetes,'80+',Males,2008,25.22,4.19,23.19,27.38,570,"2,260"
Prince Edward Island,Diabetes,'1+',Both sexes,2009,7.37,0.95,7.24,7.51,"10,980","148,920"
Prince Edward Island,Diabetes,'1-19',Both sexes,2009,0.64,6.9,0.55,0.73,210,"33,060"
Prince Edward Island,Diabetes,'20-34',Both sexes,2009,1.22,5.35,1.1,1.36,350,"28,650"
Prince Edward Island,Diabetes,'35-49',Both sexes,2009,3.81,2.85,3.6,4.03,"1,230","32,250"
Prince Edward Island,Diabetes,'50-64',Both sexes,2009,12.1,1.61,11.72,12.49,"3,860","31,900"
Prince Edward Island,Diabetes,'65-79',Both sexes,2009,22.63,1.64,21.91,23.37,"3,730","16,480"
Prince Edward Island,Diabetes,'80+',Both sexes,2009,24.24,2.51,23.06,25.46,"1,590","6,560"
Prince Edward Island,Diabetes,'1+',Females,2009,6.71,1.4,6.53,6.9,"5,090","75,820"
Prince Edward Island,Diabetes,'1-19',Females,2009,0.55,10.54,0.45,0.68,90,"16,240"
Prince Edward Island,Diabetes,'20-34',Females,2009,1.05,8.16,0.89,1.23,150,"14,290"
Prince Edward Island,Diabetes,'35-49',Females,2009,3.37,4.26,3.09,3.66,550,"16,330"
Prince Edward Island,Diabetes,'50-64',Females,2009,10.39,2.44,9.9,10.9,"1,680","16,170"
Prince Edward Island,Diabetes,'65-79',Females,2009,19.49,2.45,18.56,20.44,"1,670","8,570"
Prince Edward Island,Diabetes,'80+',Females,2009,22.41,3.24,21,23.88,950,"4,240"
Prince Edward Island,Diabetes,'1+',Males,2009,8.06,1.3,7.85,8.27,"5,890","73,100"
Prince Edward Island,Diabetes,'1-19',Males,2009,0.71,9.13,0.59,0.85,120,"16,820"
Prince Edward Island,Diabetes,'20-34',Males,2009,1.32,7.25,1.14,1.53,190,"14,350"
Prince Edward Island,Diabetes,'35-49',Males,2009,4.27,3.83,3.96,4.61,680,"15,910"
Prince Edward Island,Diabetes,'50-64',Males,2009,13.85,2.14,13.27,14.44,"2,180","15,740"
Prince Edward Island,Diabetes,'65-79',Males,2009,26.01,2.2,24.9,27.16,"2,060","7,920"
Prince Edward Island,Diabetes,'80+',Males,2009,27.47,3.95,25.38,29.68,640,"2,330"
Prince Edward Island,Diabetes,'1+',Both sexes,2010,7.62,0.93,7.48,7.76,"11,460","150,460"
Prince Edward Island,Diabetes,'1-19',Both sexes,2010,0.64,6.9,0.56,0.73,210,"32,850"
Prince Edward Island,Diabetes,'20-34',Both sexes,2010,1.24,5.27,1.12,1.38,360,"28,920"
Prince Edward Island,Diabetes,'35-49',Both sexes,2010,3.89,2.83,3.68,4.12,"1,250","32,100"
Prince Edward Island,Diabetes,'50-64',Both sexes,2010,12.15,1.58,11.77,12.53,"3,990","32,850"
Prince Edward Island,Diabetes,'65-79',Both sexes,2010,23.39,1.58,22.67,24.13,"3,990","17,060"
Prince Edward Island,Diabetes,'80+',Both sexes,2010,24.96,2.45,23.78,26.19,"1,670","6,690"
Prince Edward Island,Diabetes,'1+',Females,2010,6.89,1.37,6.71,7.08,"5,290","76,730"
Prince Edward Island,Diabetes,'1-19',Females,2010,0.5,11.18,0.39,0.62,80,"16,130"
Prince Edward Island,Diabetes,'20-34',Females,2010,1.17,7.67,1,1.36,170,"14,520"
Prince Edward Island,Diabetes,'35-49',Females,2010,3.38,4.26,3.1,3.67,550,"16,280"
Prince Edward Island,Diabetes,'50-64',Females,2010,10.48,2.39,9.99,10.98,"1,750","16,700"
Prince Edward Island,Diabetes,'65-79',Females,2010,20.02,2.38,19.1,20.98,"1,770","8,840"
Prince Edward Island,Diabetes,'80+',Females,2010,22.84,3.19,21.44,24.32,980,"4,290"
Prince Edward Island,Diabetes,'1+',Males,2010,8.37,1.27,8.16,8.58,"6,170","73,740"
Prince Edward Island,Diabetes,'1-19',Males,2010,0.78,8.77,0.65,0.92,130,"16,720"
Prince Edward Island,Diabetes,'20-34',Males,2010,1.39,7.07,1.2,1.59,200,"14,410"
Prince Edward Island,Diabetes,'35-49',Males,2010,4.42,3.78,4.1,4.77,700,"15,820"
Prince Edward Island,Diabetes,'50-64',Males,2010,13.91,2.11,13.35,14.5,"2,250","16,170"
Prince Edward Island,Diabetes,'65-79',Males,2010,26.8,2.13,25.69,27.94,"2,200","8,210"
Prince Edward Island,Diabetes,'80+',Males,2010,28.75,3.81,26.64,30.98,690,"2,400"
Prince Edward Island,Diabetes,'1+',Both sexes,2011,7.89,0.91,7.75,8.03,"11,970","151,700"
Prince Edward Island,Diabetes,'1-19',Both sexes,2011,0.59,7.25,0.51,0.68,190,"32,400"
Prince Edward Island,Diabetes,'20-34',Both sexes,2011,1.3,5.13,1.17,1.44,380,"29,260"
Prince Edward Island,Diabetes,'35-49',Both sexes,2011,3.97,2.82,3.75,4.19,"1,260","31,750"
Prince Edward Island,Diabetes,'50-64',Both sexes,2011,12.18,1.57,11.81,12.56,"4,060","33,340"
Prince Edward Island,Diabetes,'65-79',Both sexes,2011,23.84,1.52,23.13,24.56,"4,300","18,040"
Prince Edward Island,Diabetes,'80+',Both sexes,2011,25.69,2.38,24.51,26.91,"1,770","6,890"
Prince Edward Island,Diabetes,'1+',Females,2011,7.15,1.34,6.96,7.34,"5,530","77,350"
Prince Edward Island,Diabetes,'1-19',Females,2011,0.44,11.95,0.34,0.56,70,"15,930"
Prince Edward Island,Diabetes,'20-34',Females,2011,1.16,7.67,0.99,1.35,170,"14,620"
Prince Edward Island,Diabetes,'35-49',Females,2011,3.47,4.23,3.19,3.77,560,"16,130"
Prince Edward Island,Diabetes,'50-64',Females,2011,10.31,2.39,9.83,10.8,"1,750","16,980"
Prince Edward Island,Diabetes,'65-79',Females,2011,20.62,2.28,19.71,21.57,"1,920","9,310"
Prince Edward Island,Diabetes,'80+',Females,2011,23.85,3.1,22.43,25.35,"1,040","4,360"
Prince Edward Island,Diabetes,'1+',Males,2011,8.67,1.25,8.46,8.89,"6,450","74,360"
